Course_Code,Data Science,Microbiology,Virology,Immunology,Science and Society,Climate,Human Health,Lecture,Lab Course,Notes
MICB_V 203,,X,,,,,,,X,doesn't currently run
MICB_V 205,X,X,X,X,,,,X,,
MICB_V 211,,X,,,,X,,X,,
MICB_V 212,,,X,X,X,,X,X,,
MICB_V 301,,X,,,,X,,X,,
MICB_V 302,,,,X,,,X,X,,
MICB_V 306,,,X,,,,,X,,
MICB_V 308,,X,,,,,X,X,,
MICB_V 322,X,X,,,,,,,X,
MICB_V 323,X,,,X,,,,,X,
MICB_V 325,X,X,,,,,,X,,
MICB_V 353,,X,,,,,,,X,
MICB_V 398,,,,,,,,,,This is Co-op placement so not sure how you'd like to categorize
MICB_V 399,,,,,,,,,,This is Co-op placement so not sure how you'd like to categorize
MICB_V 402,,,,X,,,X,X,,
MICB_V 404,,X,,,,,X,X,,
MICB_V 405,X,,,,,,,X,,
MICB_V 406,,,X,,,,X,X,,
MICB_V 407,,,X,,,,X,X,,
MICB_V 408,,X,,,,,X,X,,
MICB_V 412,,,,X,,,X,X,,
MICB_V 413,,X,,,,,X,X,,
MICB_V 418,,X,,,X,,,X,,
MICB_V 425,X,X,,,,,,X,,
MICB_V 430,,X,X,X,,,X,X,,
MICB_V 448,X,X,X,X,,,,,X,This is directed research so not sure how you'd like to categorize
MICB_V 449,X,X,X,X,,,,,X,This is honours program research so not sure how you'd like to categorize
MICB_V 471,X,X,,,,,,,X,
MICB_V 475,X,X,,,,,,,X,
MICB_V 498,,,,,,,,,,This is Co-op placement so not sure how you'd like to categorize
MICB_V 499,,,,,,,,,,This is Co-op placement so not sure how you'd like to categorize